# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:enum/MorphologicalRule/blockable/false	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphologicalRule@blockable from "false" to "true"	sibling "true" of 1 tried: 'bakgi': ok::VAK+UNBLK|bakgi -> ok::-	bakgi	ok::VAK+UNBLK|bakgi	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphologicalRule/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 2 MorphologicalRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'qokul': ok::- -> ok::QO+KUL|qokul	qokul	ok::-	Word	ok::QO+KUL|qokul	edge-cases/loader-isactive-breadth
dtd:enum/MorphologicalRule/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 3 MorphologicalRule@isActive from "yes" to "no"	sibling "no" of 1 tried: 'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/MorphologicalRule/multipleApplication/0	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphologicalRule@multipleApplication from "0" to "1"	sibling "1" of 9 tried: 'kulba': ok::- -> ok::KUL+NEVER|kulba	kulba	ok::-	Word	ok::KUL+NEVER|kulba	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphologicalRule/multipleApplication/2	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphologicalRule@multipleApplication from "2" to "0"	sibling "0" of 9 tried: 'kulde': ok::KUL+TWICE|kulde -> ok::-	kulde	ok::KUL+TWICE|kulde	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphologicalRule/partial/true	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 2 MorphologicalRule@partial from "true" to "false"	sibling "false" of 1 tried: 'pogliti': ok::POG+POGAFX+PO|pogliti -> ok::-	pogliti	ok::POG+POGAFX+PO|pogliti	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphologicalSubrule/isActive/no	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 2 MorphologicalSubrule@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncDecoy' was not present in the dic...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncDecoy' was not present in the dic...	edge-cases/loader-isactive-breadth
dtd:enum/MorphologicalSubrule/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 MorphologicalSubrule@isActive from "yes" to "no"	sibling "no" of 1 tried: 'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/PhoneticTemplate/finalBoundaryCondition/true	Evidenced	edge-cases/right-to-left-anchor-environment	rewrote 1 PhoneticTemplate@finalBoundaryCondition from "true" to "false"	sibling "false" of 1 tried: 'aae': ok::ROOT1|aae -> ok::-	aae	ok::ROOT1|aae	Word	ok::-	edge-cases/right-to-left-anchor-environment
dtd:enum/PhoneticTemplate/initialBoundaryCondition/true	Evidenced	languages/suffixing-vowel-harmony	rewrote 1 PhoneticTemplate@initialBoundaryCondition from "true" to "false"	sibling "false" of 1 tried: 'kutagida': ok::KUTAK+PAST|kutagida -> ok::-	kutagida	ok::KUTAK+PAST|kutagida	Word	ok::-	languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:enum/PhonologicalFeatureSystem/isActive/no	RequiredByLoader	edge-cases/loader-isactive	rewrote 1 PhonologicalFeatureSystem@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains more than one matching element    at System.Lin...	kat	ok::|kat	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains more than one matching element    at System.Lin...	edge-cases/loader-isactive
dtd:enum/PhonologicalRule/isActive/no	RequiredByLoader	edge-cases/feature-system-breadth	rewrote 4 PhonologicalRule@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'featDecoy' could not be found. (Parameter 'id')    at SIL.Ma...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'featDecoy' could not be found. (Parameter 'id')    at SIL.Ma...	edge-cases/feature-system-breadth
dtd:enum/PhonologicalRule/multipleApplicationOrder/rightToLeftIterative	Evidenced	edge-cases/right-to-left-anchor-environment	rewrote 2 PhonologicalRule@multipleApplicationOrder from "rightToLeftIterative" to "leftToRightIterative"	sibling "leftToRightIterative" of 2 tried: 'eeae': ok::ROOT3|eeae -> ok::-	eeae	ok::ROOT3|eeae	Word	ok::-	edge-cases/right-to-left-anchor-environment
dtd:enum/PhonologicalRule/multipleApplicationOrder/simultaneous	Evidenced	languages/templatic-root-modification	rewrote 2 PhonologicalRule@multipleApplicationOrder from "simultaneous" to "leftToRightIterative"	sibling "leftToRightIterative" of 2 tried: 'gigugu': ok::FEEDSIM|gigugu -> ok::-	gigugu	ok::FEEDSIM|gigugu	Word	ok::-	languages/templatic-root-modification
dtd:enum/PhonologicalSubrule/isActive/no	Evidenced	edge-cases/feature-system-breadth	rewrote 1 PhonologicalSubrule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'at': ok::AT|at -> ok::-	at	ok::AT|at	Word	ok::-	edge-cases/feature-system-breadth
dtd:enum/RealizationalRule/blockable/false	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 RealizationalRule@blockable from "false" to "true"	sibling "true" of 1 tried: 'simru': ok::SIM+REAL|simru -> ok::-	simru	ok::SIM+REAL|simru	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/RealizationalRule/isActive/no	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 RealizationalRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kulsi': ok::- -> ok::KUL+RDEC|kulsi	kulsi	ok::-	Word	ok::KUL+RDEC|kulsi	edge-cases/morphotactic-attribute-breadth
dtd:enum/SegmentDefinition/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 SegmentDefinition@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'zal': SKIPPED::- -> ok::-	zal	SKIPPED::-	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/SegmentDefinition/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 10 SegmentDefinition@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, ta, contains an undefined phone...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, ta, contains an undefined phone...	edge-cases/loader-isactive-breadth
dtd:enum/SegmentNaturalClass/isActive/no	EvidencedJointly	edge-cases/feature-system-breadth	rewrote 1 SegmentNaturalClass@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecNc) via naturalClass="ncDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 SegmentNaturalClass@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <PhonologicalRule> (prDecNc) via naturalClass="ncDecoy", while SegmentNaturalClass@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncDecoy' was not present in the dic...); both jointly (rewrote 1 SegmentNaturalClass@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecNc) via naturalClass="ncDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('sal': ok::SAL|sal -> ok::-)	sal	ok::SAL|sal	Word	ok::-	edge-cases/feature-system-breadth
dtd:enum/Slot/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 2 Slot@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'qekul': ok::- -> ok::QE+KUL|qekul	qekul	ok::-	Word	ok::QE+KUL|qekul	edge-cases/loader-isactive-breadth
dtd:enum/Slot/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 3 Slot@isActive from "yes" to "no"	sibling "no" of 1 tried: 'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/Slot/optional/true	Evidenced	edge-cases/diacritic-segments	rewrote 1 Slot@optional from "true" to "false"	sibling "false" of 1 tried: 'año': ok::YEAR|año -> ok::-	año	ok::YEAR|año	Word	ok::-	edge-cases/diacritic-segments,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony
dtd:enum/Stratum/cyclicity/cyclic	Unobservable	edge-cases/morphotactic-attribute-breadth	tried 1 declared sibling(s): "noncyclic"	none produced a delta: "noncyclic" (Unobservable)	-	-	None	-	edge-cases/morphotactic-attribute-breadth
dtd:enum/Stratum/isActive/no	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 2 Stratum@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'tableDecoy' was not present in the ...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'tableDecoy' was not present in the ...	edge-cases/loader-isactive-breadth
dtd:enum/Stratum/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 Stratum@isActive from "yes" to "no"	sibling "no" of 1 tried: 'kul': ok::KUL|kul -> threw::NullReferenceException	kul	ok::KUL|kul	Word	threw::NullReferenceException	edge-cases/loader-isactive-breadth
dtd:enum/Stratum/morphologicalRuleOrder/linear	Evidenced	edge-cases/feature-gating-breadth	rewrote 1 Stratum@morphologicalRuleOrder from "linear" to "unordered"	sibling "unordered" of 1 tried: 'kalidka': ok::- -> ok::KAL+PAST+AGR|kalidka	kalidka	ok::-	Word	ok::KAL+PAST+AGR|kalidka	edge-cases/feature-gating-breadth,edge-cases/mpr-group-overwrite-without-realizational,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:enum/Stratum/morphologicalRuleOrder/unordered	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 Stratum@morphologicalRuleOrder from "unordered" to "linear"	sibling "linear" of 1 tried: 'pogliti': ok::POG+POGAFX+PO|pogliti -> ok::-	pogliti	ok::POG+POGAFX+PO|pogliti	Word	ok::-	edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-overwrite-order-dependence,edge-cases/strrep-identity,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:enum/Stratum/phonologicalRuleOrder/simultaneous	Unobservable	edge-cases/morphotactic-attribute-breadth	tried 1 declared sibling(s): "linear"	none produced a delta: "linear" (Unobservable)	-	-	None	-	edge-cases/morphotactic-attribute-breadth
dtd:enum/SymbolicFeature/isActive/no	EvidencedJointly	edge-cases/feature-system-breadth	rewrote 1 SymbolicFeature@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecFeat) via phonologicalFeature="featDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 SymbolicFeature@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <PhonologicalRule> (prDecFeat) via phonologicalFeature="featDecoy", while SymbolicFeature@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'featDecoy' could not be found. (Parameter 'id')    at SIL.Ma...); both jointly (rewrote 1 SymbolicFeature@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecFeat) via phonologicalFeature="featDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('ik': ok::AK|ik -> ok::-)	ik	ok::AK|ik	Word	ok::-	edge-cases/feature-system-breadth
dtd:enum/VariableFeature/name/%CE%B1	Evidenced	edge-cases/alpha-variable-name-collision	rewrote 1 VariableFeature@name from "α" to "β"	sibling "β" of 23 tried: 'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision
dtd:enum/VariableFeature/name/%CE%B2	Evidenced	edge-cases/alpha-variable-name-collision	rewrote 1 VariableFeature@name from "β" to "α"	sibling "α" of 23 tried: 'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision
